day;IdLabel;loc;prob;volm;rel;prof;discard;cohort;cond;experiment;rint
9;m99;2;0;0;0;NA;0;1;BPV1;1;0.857142857
9;m99;3;0;0;0;NA;0;1;BPV1;1;0.857142857
9;m99;4;0.5;4;1;1;0;1;BPV1;1;0.857142857
10;m1;1;0.2;20;1;1;0;1;I;1;-0.476190476
10;m1;2;0;0;0;NA;0;1;I;1;-0.476190476
10;m1;3;0;0;0;NA;0;1;I;1;-0.476190476
10;m1;4;0.5;4;1;0;0;1;I;1;-0.476190476
10;m3;1;0.2;4;1;0;0;1;BVP1;1;1.333333333
10;m3;2;0;0;0;NA;0;1;BVP1;1;1.333333333
10;m3;3;0;0;0;NA;0;1;BVP1;1;1.333333333
10;m3;4;0.2;20;1;1;0;1;BVP1;1;1.333333333
10;m4;1;0;0;0;NA;0;1;BVP1;1;1.333333333
10;m4;2;0.2;20;1;1;0;1;BVP1;1;1.333333333
10;m4;3;0.2;4;1;0;0;1;BVP1;1;1.333333333
10;m4;4;0;0;0;NA;0;1;BVP1;1;1.333333333
10;m5;1;0;0;0;NA;0;1;C;1;1.333333333
10;m5;2;0.5;20;1;1;0;1;C;1;1.333333333
10;m5;3;0.2;4;1;0;0;1;C;1;1.333333333
10;m5;4;0;0;0;NA;0;1;C;1;1.333333333
10;m6;1;0;0;0;NA;0;1;BPV1;1;0.857142857
10;m6;2;0.2;4;1;0;0;1;BPV1;1;0.857142857
10;m6;3;0.5;4;1;1;0;1;BPV1;1;0.857142857
10;m6;4;0;0;0;NA;0;1;BPV1;1;0.857142857
10;m96;1;0;0;0;NA;0;1;BPV2;1;0.857142857
10;m96;2;0.2;20;1;0;0;1;BPV2;1;0.857142857
10;m96;3;0.5;20;1;1;0;1;BPV2;1;0.857142857
10;m96;4;0;0;0;NA;0;1;BPV2;1;0.857142857
10;m97;1;0.5;20;1;1;0;1;BVP2;1;1.333333333
10;m97;2;0;0;0;NA;0;1;BVP2;1;1.333333333
10;m97;3;0;0;0;NA;0;1;BVP2;1;1.333333333
10;m97;4;0.5;4;1;0;0;1;BVP2;1;1.333333333
10;m99;1;0.5;4;1;1;0;1;BPV1;1;0.857142857
10;m99;2;0;0;0;NA;0;1;BPV1;1;0.857142857
10;m99;3;0;0;0;NA;0;1;BPV1;1;0.857142857
10;m99;4;0.2;4;1;0;0;1;BPV1;1;0.857142857
11;m1;1;0;0;0;NA;0;1;BVP2;1;1.333333333
11;m1;2;0.5;4;1;0;0;1;BVP2;1;1.333333333
11;m1;3;0.5;20;1;1;0;1;BVP2;1;1.333333333
11;m1;4;0;0;0;NA;0;1;BVP2;1;1.333333333
11;m3;1;0;0;0;NA;0;1;BPV2;1;0.857142857
11;m3;2;0.2;20;1;0;0;1;BPV2;1;0.857142857
11;m3;3;0.5;20;1;1;0;1;BPV2;1;0.857142857
11;m3;4;0;0;0;NA;0;1;BPV2;1;0.857142857
11;m4;1;0.2;20;1;1;0;1;I;1;-0.476190476
11;m4;2;0;0;0;NA;0;1;I;1;-0.476190476
11;m4;3;0;0;0;NA;0;1;I;1;-0.476190476
11;m4;4;0.5;4;1;0;0;1;I;1;-0.476190476
11;m5;1;0.2;4;1;0;0;1;BPV1;1;0.857142857
11;m5;2;0;0;0;NA;0;1;BPV1;1;0.857142857
11;m5;3;0;0;0;NA;0;1;BPV1;1;0.857142857
11;m5;4;0.5;4;1;1;0;1;BPV1;1;0.857142857
11;m6;1;0.5;20;1;1;0;1;C;1;1.333333333
11;m6;2;0;0;0;NA;0;1;C;1;1.333333333
11;m6;3;0;0;0;NA;0;1;C;1;1.333333333
11;m6;4;0.2;4;1;0;0;1;C;1;1.333333333
11;m96;1;0.2;20;1;1;0;1;BVP1;1;1.333333333
11;m96;2;0;0;0;NA;0;1;BVP1;1;1.333333333
11;m96;3;0;0;0;NA;0;1;BVP1;1;1.333333333
11;m96;4;0.2;4;1;0;0;1;BVP1;1;1.333333333
11;m97;1;0;0;0;NA;0;1;I;1;-0.476190476
11;m97;2;0.5;4;1;0;0;1;I;1;-0.476190476
11;m97;3;0.2;20;1;1;0;1;I;1;-0.476190476
11;m97;4;0;0;0;NA;0;1;I;1;-0.476190476
11;m99;1;0;0;0;NA;0;1;BVP2;1;1.333333333
11;m99;2;0.5;20;1;1;0;1;BVP2;1;1.333333333
11;m99;3;0.5;4;1;0;0;1;BVP2;1;1.333333333
11;m99;4;0;0;0;NA;0;1;BVP2;1;1.333333333
12;m1;1;0;0;0;NA;0;1;BVP2;1;1.333333333
12;m1;2;0.5;20;1;1;0;1;BVP2;1;1.333333333
12;m1;3;0.5;4;1;0;0;1;BVP2;1;1.333333333
12;m1;4;0;0;0;NA;0;1;BVP2;1;1.333333333
12;m3;1;0;0;0;NA;0;1;BPV2;1;0.857142857
12;m3;2;0.5;20;1;1;0;1;BPV2;1;0.857142857
12;m3;3;0.2;20;1;0;0;1;BPV2;1;0.857142857
12;m3;4;0;0;0;NA;0;1;BPV2;1;0.857142857
12;m4;1;0.5;4;1;0;0;1;I;1;-0.476190476
12;m4;2;0;0;0;NA;0;1;I;1;-0.476190476
