"cond";"par";"gamma";"performance";"pred_perf";"obs_perf";"deviance"
"BPV1";0.2;1.45;0.562;0.588223911301828;0.74;0.0230359811005153
"BPV1";0.2;1.5;0.576;0.584890979788048;0.74;0.0240588081511117
"BPV1";0.2;1.55;0.602;0.582144545777275;0.74;0.0249183444278629
"BPV1";0.2;1.6;0.583;0.579905024339372;0.74;0.0256304012317772
"BPV1";0.2;1.65;0.596;0.578180086226319;0.74;0.0261856844937217
"BPV1";0.2;1.7;0.56;0.576977402190096;0.74;0.0265763673966898
"BPV1";0.2;1.75;0.573;0.576304642982683;0.74;0.0267961699090269
"BPV1";0.2;1.8;0.558;0.576162205912941;0.74;0.0268428227713137
"BPV1";0.2;1.85;0.568;0.576544808934954;0.74;0.0267175994861107
"BPV1";0.2;1.9;0.596;0.577451603768541;0.74;0.0264219811174195
"BPV1";0.2;1.95;0.573;0.578881742133519;0.74;0.0259590930179299
"BPV1";0.2;2;0.588;0.580834375749707;0.74;0.0253336959429856
"BPV1";0.25;0.05;0.778;0.806798343768362;0.74;0.00446201873019633
"BPV1";0.25;0.1;0.807;0.795623222734073;0.74;0.00309394290732429
"BPV1";0.25;0.15;0.782;0.784616177118216;0.74;0.001990603260644
"BPV1";0.25;0.2;0.779;0.773704230825834;0.74;0.00113597517556107
"BPV1";0.25;0.25;0.757;0.762814407761969;0.74;0.000520497201529385
"BPV1";0.25;0.3;0.769;0.751904872674337;0.74;0.000141725993392166
"BPV1";0.25;0.35;0.763;0.741042798899462;0.74;1.08742954471919e-06
"BPV1";0.25;0.4;0.742;0.730318723225605;0.74;9.37271199824359e-05
"BPV1";0.25;0.45;0.716;0.719823182441025;0.74;0.00040710396680815
"BPV1";0.25;0.5;0.717;0.709646713333981;0.74;0.000921322011429513
"BPV1";0.25;0.55;0.704;0.699291170685048;0.74;0.00165720878419392
"BPV1";0.25;0.6;0.694;0.688512834286911;0.74;0.00265092823316705
"BPV1";0.25;0.65;0.686;0.677783878446;0.74;0.00387084578122208
"BPV1";0.25;0.7;0.661;0.667576477468742;0.74;0.00524516661583556
"BPV1";0.25;0.75;0.642;0.658362805661566;0.74;0.00666463149945116
"BPV1";0.25;0.8;0.653;0.650150344868999;0.74;0.00807296052715975
"BPV1";0.25;0.85;0.638;0.64260585035243;0.74;0.00948562038557326
"BPV1";0.25;0.9;0.622;0.635690406543579;0.74;0.0108804912870439
"BPV1";0.25;0.95;0.616;0.629365097874166;0.74;0.012240081568393
"BPV1";0.25;1;0.651;0.623591008775911;0.74;0.0135510532378101
"BPV1";0.25;1.05;0.603;0.619019470937606;0.74;0.0146362884122166
"BPV1";0.25;1.1;0.628;0.615867016134574;0.74;0.015408997683334
"BPV1";0.25;1.15;0.609;0.613442528928332;0.74;0.0160167934840561
"BPV1";0.25;1.2;0.606;0.611054893880396;0.74;0.0166268403921959
"BPV1";0.25;1.25;0.637;0.608012995552283;0.74;0.0174205693430816
"BPV1";0.25;1.3;0.591;0.604666787949044;0.74;0.0183150782840291
"BPV1";0.25;1.35;0.59;0.601641207779361;0.74;0.0191431553847539
"BPV1";0.25;1.4;0.592;0.598657613660204;0.74;0.0199776701762282
"BPV1";0.25;1.45;0.603;0.595437364208539;0.74;0.0208983556669747
"BPV1";0.25;1.5;0.603;0.591701818041334;0.74;0.0219923507722456
"BPV1";0.25;1.55;0.585;0.587581935411427;0.74;0.0232312664129264
"BPV1";0.25;1.6;0.587;0.58336884784481;0.74;0.0245333178254622
"BPV1";0.25;1.65;0.589;0.579024170868185;0.74;0.0259132175646754
"BPV1";0.25;1.7;0.583;0.57450952000825;0.74;0.0273870989678997
"BPV1";0.25;1.75;0.58;0.569786510791708;0.74;0.0289726319084615
"BPV1";0.25;1.8;0.55;0.56484663012998;0.74;0.0306787029768239
"BPV1";0.25;1.85;0.538;0.559712541889973;0.74;0.0325035675517746
"BPV1";0.25;1.9;0.563;0.55439262703161;0.74;0.0344500969002272
"BPV1";0.25;1.95;0.56;0.548895266514812;0.74;0.0365210191604448
"BPV1";0.25;2;0.537;0.543228841299503;0.74;0.0387188888963362
"BPV1";0.3;0.05;0.755;0.756174428896299;0.74;0.000261612150121419
"BPV1";0.3;0.1;0.737;0.746938248752613;0.74;4.81392957531414e-05
"BPV1";0.3;0.15;0.731;0.737876752321818;0.74;4.50818070290598e-06
"BPV1";0.3;0.2;0.729;0.728965942569393;0.74;0.000121750423381939
"BPV1";0.3;0.25;0.74;0.720181822460819;0.74;0.000392760160974495
"BPV1";0.3;0.3;0.699;0.711515482342078;0.74;0.00081136774620446
"BPV1";0.3;0.35;0.718;0.702992392758973;0.74;0.00136956299370608
"BPV1";0.3;0.4;0.706;0.69464012697672;0.74;0.00205751808068811
"BPV1";0.3;0.45;0.707;0.686486258260532;0.74;0.00286372055495853
"BPV1";0.3;0.5;0.678;0.678558359875623;0.74;0.00377507514117342
"BPV1";0.3;0.55;0.654;0.670611458088256;0.74;0.00481476974863781
"BPV1";0.3;0.6;0.641;0.662534915901851;0.74;0.00600083925433335
"BPV1";0.3;0.65;0.664;0.654557811687358;0.74;0.00730036754365295
"BPV1";0.3;0.7;0.64;0.646909223815731;0.74;0.00866589261058964
"BPV1";0.3;0.75;0.636;0.639818230657922;0.74;0.0100363869085094
"BPV1";0.3;0.8;0.654;0.633359221953597;0.74;0.0113722555423422
"BPV1";0.3;0.85;0.637;0.627407744432103;0.74;0.0126770160138667
"BPV1";0.3;0.9;0.617;0.621894611948913;0.74;0.0139488826866978
"BPV1";0.3;0.95;0.604;0.6167506383595;0.74;0.0151904051447907
"BPV1";0.3;1;0.61;0.611906637519337;0.74;0.0164079095116026
"BPV1";0.3;1.05;0.597;0.607512467361777;0.74;0.0175529463045643
"BPV1";0.3;1.1;0.62;0.603638760258857;0.74;0.0185943877037415
"BPV1";0.3;1.15;0.596;0.600097491724075;0.74;0.0195727118218953
"BPV1";0.3;1.2;0.593;0.596700637270929;0.74;0.0205347073585579
"BPV1";0.3;1.25;0.587;0.593260172412916;0.74;0.0215325770002872
"BPV1";0.3;1.3;0.588;0.589933978089486;0.74;0.0225198109320469
"BPV1";0.3;1.35;0.605;0.586917749142721;0.74;0.023434175527531
"BPV1";0.3;1.4;0.585;0.584080181940064;0.74;0.0243109896638434
"BPV1";0.3;1.45;0.579;0.581289972848961;0.74;0.0251888727182835
"BPV1";0.3;1.5;0.596;0.578415818236855;0.74;0.0261094477960651
"BPV1";0.3;1.55;0.573;0.57552358282116;0.74;0.0270524918079879
"BPV1";0.3;1.6;0.547;0.572752110734816;0.74;0.0279718564636592
"BPV1";0.3;1.65;0.566;0.570079567468562;0.74;0.028872953391671
"BPV1";0.3;1.7;0.587;0.567484118513134;0.74;0.0297617293651904
"BPV1";0.3;1.75;0.581;0.564943929359269;0.74;0.0306446278681726
"BPV1";0.3;1.8;0.554;0.562458243850417;0.74;0.0315210751766778
"BPV1";0.3;1.85;0.549;0.560043050848323;0.74;0.0323845035479791
"BPV1";0.3;1.9;0.558;0.557701633371165;0.74;0.0332326944755412
"BPV1";0.3;1.95;0.549;0.55543727443712;0.74;0.0340633996671989
"BPV1";0.3;2;0.561;0.553253257064368;0.74;0.0348743459970671
"BPV1";0.35;0.05;0.678;0.716545098372163;0.74;0.000550132410371512
"BPV1";0.35;0.1;0.713;0.710812295837809;0.74;0.00085192207425956
"BPV1";0.35;0.15;0.73;0.705007710808038;0.74;0.00122446030289389
"BPV1";0.35;0.2;0.718;0.69908914629734;0.74;0.00167369795068043
"BPV1";0.35;0.25;0.702;0.693014405320207;0.74;0.00220764610741383
"BPV1";0.35;0.3;0.687;0.686757083049661;0.74;0.00283480820538072
"BPV1";0.35;0.35;0.688;0.680352917165003;0.74;0.00355777449072503
"BPV1";0.35;0.4;0.66;0.673852924440139;0.74;0.00437543560512197
"BPV1";0.35;0.45;0.668;0.667308121648975;0.74;0.00528410917820015
"BPV1";0.35;0.5;0.661;0.660769525565419;0.74;0.00627746807912884
"BPV1";0.35;0.55;0.664;0.653917557936886;0.74;0.00741018683154932
"BPV1";0.35;0.6;0.662;0.646611711621196;0.74;0.00872137240632269
"BPV1";0.35;0.65;0.633;0.639171610057852;0.74;0.0101663642183258
"BPV1";0.35;0.7;0.618;0.631916876686361;0.74;0.0116819615452313
"BPV1";0.35;0.75;0.628;0.625167134946228;0.74;0.0131865868964578
"BPV1";0.35;0.8;0.616;0.61880413643612;0.74;0.0146884373449947
"BPV1";0.35;0.85;0.591;0.612562323856241;0.74;0.0162403613009217
"BPV1";0.35;0.9;0.614;0.606540357298403;0.74;0.017811476230038
"BPV1";0.35;0.95;0.619;0.600836896854417;0.74;0.0193663692771081
"BPV1";0.35;1;0.615;0.595550602616096;0.74;0.0208656284045729
"BPV1";0.35;1.05;0.576;0.590611362606824;0.74;0.0223169649821898
"BPV1";0.35;1.1;0.586;0.585926537800616;0.74;0.0237386317541049
"BPV1";0.35;1.15;0.572;0.581560997715232;0.74;0.0251029174449927
"BPV1";0.35;1.2;0.577;0.577579611868431;0.74;0.0263803824808095
"BPV1";0.35;1.25;0.557;0.574047249777973;0.74;0.0275403153062546
"BPV1";0.35;1.3;0.59;0.571069097618005;0.74;0.028537649779595
"BPV1";0.35;1.35;0.572;0.568607037616281;0.74;0.0293755475546671
"BPV1";0.35;1.4;0.587;0.566510983370963;0.74;0.0300984388909104
"BPV1";0.35;1.45;0.527;0.564630848480215;0.74;0.0307543393047692
"BPV1";0.35;1.5;0.565;0.562816546542203;0.74;0.0313939761792314
"BPV1";0.35;1.55;0.556;0.561137229916023;0.74;0.0319918905221137
"BPV1";0.35;1.6;0.579;0.559735164894415;0.74;0.0324954107756437
"BPV1";0.35;1.65;0.543;0.558569935976007;0.74;0.0329168681317501
"BPV1";0.35;1.7;0.575;0.557601127659427;0.74;0.0332693486311127
"BPV1";0.35;1.75;0.543;0.556788324443301;0.74;0.033566518060293
"BPV1";0.35;1.8;0.579;0.556125874997826;0.74;0.033809693845315
"BPV1";0.35;1.85;0.565;0.555641039687088;0.74;0.0339882262476578
"BPV1";0.35;1.9;0.55;0.555342770550551;0.74;0.0340982923879464
"BPV1";0.35;1.95;0.575;0.555240019627679;0.74;0.0341362503471803
"BPV1";0.35;2;0.526;0.555341738957938;0.74;0.0340986733710784
"BPV1";0.4;0.05;0.681;0.683531079767685;0.74;0.00318873895220354
"BPV1";0.4;0.1;0.688;0.679863447118906;0.74;0.0036164049924206
"BPV1";0.4;0.15;0.669;0.676063867517183;0.74;0.00408782903686038
"BPV1";0.4;0.2;0.642;0.672106613485579;0.74;0.00460951193239662
"BPV1";0.4;0.25;0.681;0.667965957547158;0.74;0.00518890327209787
"BPV1";0.4;0.3;0.682;0.663628652504822;0.74;0.0058325827182292
"BPV1";0.4;0.35;0.661;0.659119863536813;0.74;0.00654159647430374
"BPV1";0.4;0.4;0.674;0.654471481729205;0.74;0.00731512743759764
"BPV1";0.4;0.45;0.66;0.649715398168073;0.74;0.00815130932794957
"BPV1";0.4;0.5;0.636;0.64488350393949;0.74;0.00904714782282895
"BPV1";0.4;0.55;0.605;0.639768372128021;0.74;0.0100463792258669
