"cond";"gamma";"model";"performance";"deviance"
"BPV2";0.95;"wta";0.634;9.50762613395914e-05
"BPV1";1;"wta";0.655;0.00852754101146512
"BPV2";1;"wta";0.65;0.000240623186925836
"BPV1";1.05;"wta";0.641;0.00937092344998658
"BPV2";1.05;"wta";0.63;0.000421016276520662
"BPV1";1.1;"wta";0.627;0.00979909872494869
"BPV2";1.1;"wta";0.659;0.000548789392748483
"BPV1";1.15;"wta";0.638;0.0100044658931643
"BPV2";1.15;"wta";0.607;0.000633526433089241
"BPV1";1.2;"wta";0.64;0.0102043049486319
"BPV2";1.2;"wta";0.641;0.000712087566069722
"BPV1";1.25;"wta";0.628;0.0106274523862947
"BPV2";1.25;"wta";0.622;0.00083558608484819
"BPV1";1.3;"wta";0.671;0.0112209762506589
"BPV2";1.3;"wta";0.632;0.000988314837113591
"BPV1";1.35;"wta";0.623;0.0117770197269991
"BPV2";1.35;"wta";0.657;0.00111579874635369
"BPV1";1.4;"wta";0.608;0.0123064954400959
"BPV2";1.4;"wta";0.636;0.00122669297649521
"BPV1";1.45;"wta";0.639;0.0128218512393832
"BPV2";1.45;"wta";0.627;0.00133361247155861
"BPV1";1.5;"wta";0.649;0.0133368747451267
"BPV2";1.5;"wta";0.613;0.00145209734828779
"BPV1";1.55;"wta";0.631;0.0138405349204546
"BPV2";1.55;"wta";0.623;0.00157532049346811
"BPV1";1.6;"wta";0.62;0.0143130908355761
"BPV2";1.6;"wta";0.593;0.00168500031778572
"BPV1";1.65;"wta";0.598;0.0147565223209618
"BPV2";1.65;"wta";0.63;0.00178204454576966
"BPV1";1.7;"wta";0.622;0.0151732013156034
"BPV2";1.7;"wta";0.613;0.00186791477868575
"BPV1";1.75;"wta";0.609;0.0155658444053918
"BPV2";1.75;"wta";0.633;0.00194451155330533
"BPV1";1.8;"wta";0.609;0.0159332370324395
"BPV2";1.8;"wta";0.609;0.00201101481658937
"BPV1";1.85;"wta";0.611;0.0162709558128123
"BPV2";1.85;"wta";0.611;0.00206441069088618
"BPV1";1.9;"wta";0.598;0.0165771933674122
"BPV2";1.9;"wta";0.619;0.00210367141890325
"BPV1";1.95;"wta";0.615;0.0168502239761812
"BPV2";1.95;"wta";0.602;0.00212790458959038
"BPV1";2;"wta";0.621;0.0170884115286155
"BPV2";2;"wta";0.621;0.00213637005789924
