"ind";"experiment";"cond";"model";"performance"
3;1;"BPV2";"rnonc";0.59
3;1;"BPV2";"sev";0.74
3;1;"BPV2";"vfirst";0.74
3;1;"BPV2";"wta";0.63
3;1;"BVP1";"2scal";0.81
3;1;"BVP1";"pfirst";0.59
3;1;"BVP1";"rnonc";0.65
3;1;"BVP1";"sev";0.78
3;1;"BVP1";"vfirst";0.89
3;1;"BVP1";"wta";0.8
3;1;"BVP2";"2scal";0.82
3;1;"BVP2";"pfirst";0.7
3;1;"BVP2";"rnonc";0.67
3;1;"BVP2";"sev";0.78
3;1;"BVP2";"vfirst";0.91
3;1;"BVP2";"wta";0.78
3;1;"C";"2scal";0.87
3;1;"C";"pfirst";0.77
3;1;"C";"rnonc";0.77
3;1;"C";"sev";0.8
3;1;"C";"vfirst";0.93
3;1;"C";"wta";0.88
3;1;"I";"2scal";0.78
3;1;"I";"pfirst";0.5
3;1;"I";"rnonc";0.55
3;1;"I";"sev";0.73
3;1;"I";"vfirst";0.82
3;1;"I";"wta";0.64
3;2;"BPV1";"2scal";0.84
3;2;"BPV1";"pfirst";0.76
3;2;"BPV1";"rnonc";0.6
3;2;"BPV1";"sev";0.82
3;2;"BPV1";"vfirst";0.78
3;2;"BPV1";"wta";0.79
3;2;"BPV2";"2scal";0.75
3;2;"BPV2";"pfirst";0.83
3;2;"BPV2";"rnonc";0.63
3;2;"BPV2";"sev";0.75
3;2;"BPV2";"vfirst";0.75
3;2;"BPV2";"wta";0.77
3;2;"BVP1";"2scal";0.84
3;2;"BVP1";"pfirst";0.71
3;2;"BVP1";"rnonc";0.61
3;2;"BVP1";"sev";0.77
3;2;"BVP1";"vfirst";0.95
3;2;"BVP1";"wta";0.74
3;2;"BVP2";"2scal";0.81
3;2;"BVP2";"pfirst";0.63
3;2;"BVP2";"rnonc";0.59
3;2;"BVP2";"sev";0.69
3;2;"BVP2";"vfirst";0.92
3;2;"BVP2";"wta";0.78
3;2;"C";"2scal";0.91
3;2;"C";"pfirst";0.89
3;2;"C";"rnonc";0.66
3;2;"C";"sev";0.78
3;2;"C";"vfirst";0.98
3;2;"C";"wta";0.89
3;2;"I";"2scal";0.5
3;2;"I";"pfirst";0.28
3;2;"I";"rnonc";0.52
3;2;"I";"sev";0.53
3;2;"I";"vfirst";0.83
3;2;"I";"wta";0.51
3;3;"PV1";"2scal";0.65
3;3;"PV1";"pfirst";0.62
3;3;"PV1";"rnonc";0.59
3;3;"PV1";"sev";0.76
3;3;"PV1";"vfirst";0.64
3;3;"PV1";"wta";0.7
3;3;"PV2";"2scal";0.73
3;3;"PV2";"pfirst";0.65
3;3;"PV2";"rnonc";0.61
3;3;"PV2";"sev";0.7
3;3;"PV2";"vfirst";0.65
3;3;"PV2";"wta";0.72
3;3;"PV3";"2scal";0.71
3;3;"PV3";"pfirst";0.66
3;3;"PV3";"rnonc";0.59
3;3;"PV3";"sev";0.75
3;3;"PV3";"vfirst";0.71
3;3;"PV3";"wta";0.69
3;3;"PV4";"2scal";0.73
3;3;"PV4";"pfirst";0.69
3;3;"PV4";"rnonc";0.65
3;3;"PV4";"sev";0.76
3;3;"PV4";"vfirst";0.6
3;3;"PV4";"wta";0.71
3;3;"VP1";"2scal";0.6
3;3;"VP1";"pfirst";0.56
3;3;"VP1";"rnonc";0.56
3;3;"VP1";"sev";0.71
3;3;"VP1";"vfirst";0.86
3;3;"VP1";"wta";0.73
3;3;"VP2";"2scal";0.67
3;3;"VP2";"pfirst";0.58
3;3;"VP2";"rnonc";0.58
3;3;"VP2";"sev";0.67
3;3;"VP2";"vfirst";0.78
3;3;"VP2";"wta";0.61
3;3;"VP3";"2scal";0.67
3;3;"VP3";"pfirst";0.52
3;3;"VP3";"rnonc";0.7
3;3;"VP3";"sev";0.66
3;3;"VP3";"vfirst";0.72
3;3;"VP3";"wta";0.7
3;3;"VP4";"2scal";0.7
3;3;"VP4";"pfirst";0.57
3;3;"VP4";"rnonc";0.69
3;3;"VP4";"sev";0.71
3;3;"VP4";"vfirst";0.73
3;3;"VP4";"wta";0.67
4;1;"BPV1";"2scal";0.62
4;1;"BPV1";"pfirst";0.64
4;1;"BPV1";"rnonc";0.59
4;1;"BPV1";"sev";0.65
4;1;"BPV1";"vfirst";0.65
4;1;"BPV1";"wta";0.74
4;1;"BPV2";"2scal";0.64
4;1;"BPV2";"pfirst";0.71
4;1;"BPV2";"rnonc";0.6
4;1;"BPV2";"sev";0.7
4;1;"BPV2";"vfirst";0.75
4;1;"BPV2";"wta";0.68
4;1;"BVP1";"2scal";0.85
4;1;"BVP1";"pfirst";0.7
4;1;"BVP1";"rnonc";0.65
4;1;"BVP1";"sev";0.77
4;1;"BVP1";"vfirst";0.93
4;1;"BVP1";"wta";0.79
4;1;"BVP2";"2scal";0.75
4;1;"BVP2";"pfirst";0.61
4;1;"BVP2";"rnonc";0.61
4;1;"BVP2";"sev";0.81
4;1;"BVP2";"vfirst";0.91
4;1;"BVP2";"wta";0.78
4;1;"C";"2scal";0.79
4;1;"C";"pfirst";0.8
4;1;"C";"rnonc";0.8
4;1;"C";"sev";0.86
4;1;"C";"vfirst";0.95
4;1;"C";"wta";0.89
4;1;"I";"2scal";0.65
4;1;"I";"pfirst";0.39
4;1;"I";"rnonc";0.44
4;1;"I";"sev";0.7
4;1;"I";"vfirst";0.88
4;1;"I";"wta";0.59
4;2;"BPV1";"2scal";0.83
4;2;"BPV1";"pfirst";0.87
4;2;"BPV1";"rnonc";0.57
4;2;"BPV1";"sev";0.83
4;2;"BPV1";"vfirst";0.77
4;2;"BPV1";"wta";0.81
4;2;"BPV2";"2scal";0.8
4;2;"BPV2";"pfirst";0.89
4;2;"BPV2";"rnonc";0.59
4;2;"BPV2";"sev";0.75
4;2;"BPV2";"vfirst";0.76
4;2;"BPV2";"wta";0.79
4;2;"BVP1";"2scal";0.83
4;2;"BVP1";"pfirst";0.59
4;2;"BVP1";"rnonc";0.59
4;2;"BVP1";"sev";0.79
4;2;"BVP1";"vfirst";0.91
4;2;"BVP1";"wta";0.74
4;2;"BVP2";"2scal";0.79
4;2;"BVP2";"pfirst";0.61
4;2;"BVP2";"rnonc";0.66
4;2;"BVP2";"sev";0.81
4;2;"BVP2";"vfirst";0.92
4;2;"BVP2";"wta";0.88
4;2;"C";"2scal";0.86
4;2;"C";"pfirst";0.92
4;2;"C";"rnonc";0.76
4;2;"C";"sev";0.84
4;2;"C";"vfirst";0.93
4;2;"C";"wta";0.89
4;2;"I";"2scal";0.46
4;2;"I";"pfirst";0.33
4;2;"I";"rnonc";0.52
4;2;"I";"sev";0.5
4;2;"I";"vfirst";0.83
4;2;"I";"wta";0.53
4;3;"PV1";"2scal";0.7
4;3;"PV1";"pfirst";0.74
4;3;"PV1";"rnonc";0.68
4;3;"PV1";"sev";0.7
4;3;"PV1";"vfirst";0.65
4;3;"PV1";"wta";0.57
4;3;"PV2";"2scal";0.68
4;3;"PV2";"pfirst";0.68
4;3;"PV2";"rnonc";0.54
4;3;"PV2";"sev";0.71
4;3;"PV2";"vfirst";0.75
4;3;"PV2";"wta";0.6
4;3;"PV3";"2scal";0.7
4;3;"PV3";"pfirst";0.65
4;3;"PV3";"rnonc";0.62
4;3;"PV3";"sev";0.75
4;3;"PV3";"vfirst";0.68
4;3;"PV3";"wta";0.71
4;3;"PV4";"2scal";0.71
4;3;"PV4";"pfirst";0.67
4;3;"PV4";"rnonc";0.65
4;3;"PV4";"sev";0.75
4;3;"PV4";"vfirst";0.67
4;3;"PV4";"wta";0.65
4;3;"VP1";"2scal";0.62
4;3;"VP1";"pfirst";0.61
4;3;"VP1";"rnonc";0.6
4;3;"VP1";"sev";0.65
4;3;"VP1";"vfirst";0.79
4;3;"VP1";"wta";0.77
4;3;"VP2";"2scal";0.79
4;3;"VP2";"pfirst";0.65
4;3;"VP2";"rnonc";0.64
4;3;"VP2";"sev";0.75
4;3;"VP2";"vfirst";0.76
4;3;"VP2";"wta";0.79
4;3;"VP3";"2scal";0.8
4;3;"VP3";"pfirst";0.61
4;3;"VP3";"rnonc";0.55
4;3;"VP3";"sev";0.69
4;3;"VP3";"vfirst";0.74
4;3;"VP3";"wta";0.81
4;3;"VP4";"2scal";0.75
4;3;"VP4";"pfirst";0.63
4;3;"VP4";"rnonc";0.62
4;3;"VP4";"sev";0.7
4;3;"VP4";"vfirst";0.87
4;3;"VP4";"wta";0.7
5;1;"BPV1";"2scal";0.71
5;1;"BPV1";"pfirst";0.71
5;1;"BPV1";"rnonc";0.59
5;1;"BPV1";"sev";0.75
5;1;"BPV1";"vfirst";0.67
5;1;"BPV1";"wta";0.71
5;1;"BPV2";"2scal";0.75
5;1;"BPV2";"pfirst";0.69
5;1;"BPV2";"rnonc";0.61
5;1;"BPV2";"sev";0.72
5;1;"BPV2";"vfirst";0.7
5;1;"BPV2";"wta";0.75
5;1;"BVP1";"2scal";0.76
5;1;"BVP1";"pfirst";0.75
5;1;"BVP1";"rnonc";0.64
5;1;"BVP1";"sev";0.72
5;1;"BVP1";"vfirst";0.88
5;1;"BVP1";"wta";0.88
5;1;"BVP2";"2scal";0.88
5;1;"BVP2";"pfirst";0.64
5;1;"BVP2";"rnonc";0.63
5;1;"BVP2";"sev";0.69
5;1;"BVP2";"vfirst";0.92
5;1;"BVP2";"wta";0.83
5;1;"C";"2scal";0.81
5;1;"C";"pfirst";0.78
5;1;"C";"rnonc";0.78
5;1;"C";"sev";0.85
5;1;"C";"vfirst";0.98
5;1;"C";"wta";0.89
5;1;"I";"2scal";0.65
5;1;"I";"pfirst";0.35
5;1;"I";"rnonc";0.49
5;1;"I";"sev";0.67
5;1;"I";"vfirst";0.84
5;1;"I";"wta";0.64
5;2;"BPV1";"2scal";0.77
5;2;"BPV1";"pfirst";0.78
5;2;"BPV1";"rnonc";0.61
5;2;"BPV1";"sev";0.77
5;2;"BPV1";"vfirst";0.73
5;2;"BPV1";"wta";0.75
5;2;"BPV2";"2scal";0.74
5;2;"BPV2";"pfirst";0.83
5;2;"BPV2";"rnonc";0.68
5;2;"BPV2";"sev";0.79
5;2;"BPV2";"vfirst";0.79
5;2;"BPV2";"wta";0.72
5;2;"BVP1";"2scal";0.81
5;2;"BVP1";"pfirst";0.74
5;2;"BVP1";"rnonc";0.61
5;2;"BVP1";"sev";0.76
5;2;"BVP1";"vfirst";0.9
5;2;"BVP1";"wta";0.79
5;2;"BVP2";"2scal";0.76
5;2;"BVP2";"pfirst";0.63
5;2;"BVP2";"rnonc";0.6
5;2;"BVP2";"sev";0.75
5;2;"BVP2";"vfirst";0.89
5;2;"BVP2";"wta";0.76
5;2;"C";"2scal";0.91
5;2;"C";"pfirst";0.89
5;2;"C";"rnonc";0.74
5;2;"C";"sev";0.77
5;2;"C";"vfirst";0.97
5;2;"C";"wta";0.95
5;2;"I";"2scal";0.5
5;2;"I";"pfirst";0.19
5;2;"I";"rnonc";0.52
5;2;"I";"sev";0.45
5;2;"I";"vfirst";0.8
5;2;"I";"wta";0.46
5;3;"PV1";"2scal";0.6
5;3;"PV1";"pfirst";0.59
5;3;"PV1";"rnonc";0.64
5;3;"PV1";"sev";0.69
5;3;"PV1";"vfirst";0.69
5;3;"PV1";"wta";0.66
5;3;"PV2";"2scal";0.74
5;3;"PV2";"pfirst";0.69
5;3;"PV2";"rnonc";0.62
5;3;"PV2";"sev";0.72
5;3;"PV2";"vfirst";0.73
5;3;"PV2";"wta";0.75
5;3;"PV3";"2scal";0.65
5;3;"PV3";"pfirst";0.64
5;3;"PV3";"rnonc";0.68
5;3;"PV3";"sev";0.68
5;3;"PV3";"vfirst";0.71
5;3;"PV3";"wta";0.72
5;3;"PV4";"2scal";0.63
5;3;"PV4";"pfirst";0.66
5;3;"PV4";"rnonc";0.66
5;3;"PV4";"sev";0.68
5;3;"PV4";"vfirst";0.71
5;3;"PV4";"wta";0.78
5;3;"VP1";"2scal";0.8
5;3;"VP1";"pfirst";0.65
5;3;"VP1";"rnonc";0.66
5;3;"VP1";"sev";0.68
5;3;"VP1";"vfirst";0.71
