"pset";"nrep";"Choice_type";"cond";"experiment";"performance"
2;55;7;"BPV2";1;0.844444444444444
2;56;7;"BPV2";1;0.788888888888889
2;57;7;"BPV2";1;0.866666666666667
2;58;7;"BPV2";1;0.866666666666667
2;59;7;"BPV2";1;0.833333333333333
2;60;7;"BPV2";1;0.888888888888889
2;61;7;"BPV2";1;0.877777777777778
2;62;7;"BPV2";1;0.733333333333333
2;63;7;"BPV2";1;0.911111111111111
2;64;7;"BPV2";1;0.855555555555556
2;65;7;"BPV2";1;0.788888888888889
2;66;7;"BPV2";1;0.9
2;67;7;"BPV2";1;0.944444444444444
2;68;7;"BPV2";1;0.855555555555556
2;69;7;"BPV2";1;0.822222222222222
2;70;7;"BPV2";1;0.7
2;71;7;"BPV2";1;0.955555555555556
2;72;7;"BPV2";1;0
2;73;7;"BPV2";1;0.833333333333333
2;74;7;"BPV2";1;0.766666666666667
2;75;7;"BPV2";1;0.922222222222222
2;76;7;"BPV2";1;0.933333333333333
2;77;7;"BPV2";1;0.833333333333333
2;78;7;"BPV2";1;0.877777777777778
2;79;7;"BPV2";1;0.8
2;80;7;"BPV2";1;0.866666666666667
2;81;7;"BPV2";1;0.755555555555556
2;82;7;"BPV2";1;0.9
2;83;7;"BPV2";1;0.9
2;84;7;"BPV2";1;0.933333333333333
2;85;7;"BPV2";1;0.944444444444444
2;86;7;"BPV2";1;0.866666666666667
2;87;7;"BPV2";1;0.8
2;88;7;"BPV2";1;0.722222222222222
2;89;7;"BPV2";1;0.866666666666667
2;90;7;"BPV2";1;0.777777777777778
2;91;7;"BPV2";1;0.855555555555556
2;92;7;"BPV2";1;0.455555555555556
2;93;7;"BPV2";1;0.911111111111111
2;94;7;"BPV2";1;0.7
2;95;7;"BPV2";1;0.722222222222222
2;96;7;"BPV2";1;0.744444444444444
2;97;7;"BPV2";1;0.877777777777778
2;98;7;"BPV2";1;0.766666666666667
2;99;7;"BPV2";1;0.822222222222222
2;100;7;"BPV2";1;0.855555555555556
3;1;7;"BVP1";1;0.822222222222222
3;2;7;"BVP1";1;0.944444444444444
3;3;7;"BVP1";1;0.922222222222222
3;4;7;"BVP1";1;0.866666666666667
3;5;7;"BVP1";1;0.866666666666667
3;6;7;"BVP1";1;0.366666666666667
3;7;7;"BVP1";1;0.877777777777778
3;8;7;"BVP1";1;0.911111111111111
3;9;7;"BVP1";1;0.855555555555556
3;10;7;"BVP1";1;0.644444444444444
3;11;7;"BVP1";1;0.877777777777778
3;12;7;"BVP1";1;0.866666666666667
3;13;7;"BVP1";1;0.822222222222222
3;14;7;"BVP1";1;0.922222222222222
3;15;7;"BVP1";1;0.877777777777778
3;16;7;"BVP1";1;0.933333333333333
3;17;7;"BVP1";1;0.888888888888889
3;18;7;"BVP1";1;0.9
3;19;7;"BVP1";1;0.911111111111111
3;20;7;"BVP1";1;0.9
3;21;7;"BVP1";1;0.0777777777777778
3;22;7;"BVP1";1;0.9
3;23;7;"BVP1";1;0.9
3;24;7;"BVP1";1;0.933333333333333
3;25;7;"BVP1";1;0.933333333333333
3;26;7;"BVP1";1;0.888888888888889
3;27;7;"BVP1";1;0.866666666666667
3;28;7;"BVP1";1;0.911111111111111
3;29;7;"BVP1";1;0.688888888888889
3;30;7;"BVP1";1;0.677777777777778
3;31;7;"BVP1";1;0.855555555555556
3;32;7;"BVP1";1;0.888888888888889
3;33;7;"BVP1";1;0.811111111111111
3;34;7;"BVP1";1;0.877777777777778
3;35;7;"BVP1";1;0.822222222222222
3;36;7;"BVP1";1;0.966666666666667
3;37;7;"BVP1";1;0.866666666666667
3;38;7;"BVP1";1;0.877777777777778
3;39;7;"BVP1";1;0.1
3;40;7;"BVP1";1;0.888888888888889
3;41;7;"BVP1";1;0.833333333333333
3;42;7;"BVP1";1;0.855555555555556
3;43;7;"BVP1";1;0.877777777777778
3;44;7;"BVP1";1;0.877777777777778
3;45;7;"BVP1";1;0.0222222222222222
3;46;7;"BVP1";1;0.711111111111111
3;47;7;"BVP1";1;0.877777777777778
3;48;7;"BVP1";1;0.866666666666667
3;49;7;"BVP1";1;0.377777777777778
3;50;7;"BVP1";1;0.911111111111111
3;51;7;"BVP1";1;0.833333333333333
3;52;7;"BVP1";1;0.0444444444444444
3;53;7;"BVP1";1;0.788888888888889
3;54;7;"BVP1";1;0.888888888888889
3;55;7;"BVP1";1;0.677777777777778
3;56;7;"BVP1";1;0.0333333333333333
