"cond";"par";"gamma";"performance";"pred_perf";"obs_perf";"deviance"
"BPV1";0.4;1.35;0.692;0.697017970803138;0.74;0.00184745483387986
"BPV1";0.4;1.4;0.712;0.693648152974817;0.74;0.00214849372264598
"BPV1";0.4;1.45;0.699;0.690618187925319;0.74;0.00243856336377909
"BPV1";0.4;1.5;0.672;0.687911697894678;0.74;0.00271319121621527
"BPV1";0.4;1.55;0.68;0.685520854562169;0.74;0.00296797728763637
"BPV1";0.4;1.6;0.662;0.683447892819102;0.74;0.00319814082659977
"BPV1";0.4;1.65;0.687;0.681691529723566;0.74;0.00339987770597781
"BPV1";0.4;1.7;0.687;0.680250482333648;0.74;0.00357000486136168
"BPV1";0.4;1.75;0.676;0.679123467707437;0.74;0.00370595218396745
"BPV1";0.4;1.8;0.7;0.678311573179605;0.74;0.00380546200357519
"BPV1";0.4;1.85;0.701;0.677816451764368;0.74;0.00386679367117318
"BPV1";0.4;1.9;0.674;0.677637669039126;0.74;0.00388906032287363
"BPV1";0.4;1.95;0.664;0.67777479058128;0.74;0.0038719766872036
"BPV1";0.4;2;0.67;0.678227381968231;0.74;0.00381585633849884
"BPV1";0.45;0.05;1;1.03040625244859;0.74;0.0843357914612348
"BPV1";0.45;0.1;0.999;1.0057139195952;0.74;0.0706038870666441
"BPV1";0.45;0.15;0.992;0.981985082181544;0.74;0.0585567799984087
"BPV1";0.45;0.2;0.984;0.959199472825088;0.74;0.0480484088867963
"BPV1";0.45;0.25;0.96;0.937336824143292;0.74;0.0389418221629606
"BPV1";0.45;0.3;0.926;0.91639709661687;0.74;0.0311159356948612
"BPV1";0.45;0.35;0.896;0.896404129748509;0.74;0.0244622518023883
"BPV1";0.45;0.4;0.87;0.877373474688639;0.74;0.0188714715480301
"BPV1";0.45;0.45;0.847;0.85932068258769;0.74;0.0142374252931922
"BPV1";0.45;0.5;0.852;0.84226130459609;0.74;0.0104573744176943
"BPV1";0.45;0.55;0.826;0.82600135103479;0.74;0.00739623237980921
"BPV1";0.45;0.6;0.816;0.810469939519462;0.74;0.00496601237587668
"BPV1";0.45;0.65;0.78;0.795867282142617;0.74;0.00312115321400275
"BPV1";0.45;0.7;0.78;0.782393590996765;0.74;0.00179721655760096
"BPV1";0.45;0.75;0.77;0.770249078174416;0.74;0.000915006730401932
"BPV1";0.45;0.8;0.748;0.759962291399158;0.74;0.000398493077904904
"BPV1";0.45;0.85;0.752;0.751504616521543;0.74;0.00013235620130775
"BPV1";0.45;0.9;0.733;0.744240522824527;0.74;1.79820338253384e-05
"BPV1";0.45;0.95;0.733;0.73753447959107;0.74;6.07879088684871e-06
"BPV1";0.45;1;0.745;0.730750956104129;0.74;8.55448129877425e-05
"BPV1";0.45;1.05;0.753;0.724363453783487;0.74;0.000244501577581133
"BPV1";0.45;1.1;0.718;0.71904825762238;0.74;0.000438975508658153
"BPV1";0.45;1.15;0.72;0.714474012263945;0.74;0.000651576049901246
"BPV1";0.45;1.2;0.709;0.710309362351318;0.74;0.000881533963985304
"BPV1";0.45;1.25;0.706;0.706222952527639;0.74;0.00114088893595016
"BPV1";0.45;1.3;0.691;0.702468387837743;0.74;0.00140862191149811
"BPV1";0.45;1.35;0.685;0.699344715659352;0.74;0.00165285214481891
"BPV1";0.45;1.4;0.697;0.696588744134932;0.74;0.00188453713578243
"BPV1";0.45;1.45;0.673;0.693937281406944;0.74;0.00212177404418306
"BPV1";0.45;1.5;0.71;0.691127135617854;0.74;0.00238855687291567
"BPV1";0.45;1.55;0.688;0.688279061122481;0.74;0.00267505551837203
"BPV1";0.45;1.6;0.702;0.685667074199695;0.74;0.00295206682602148
"BPV1";0.45;1.65;0.688;0.683257875878027;0.74;0.00321966864987334
"BPV1";0.45;1.7;0.675;0.681018167186013;0.74;0.00347885660209712
"BPV1";0.45;1.75;0.697;0.678914649152185;0.74;0.00373142008820068
"BPV1";0.45;1.8;0.686;0.676934833460734;0.74;0.00397721523062534
"BPV1";0.45;1.85;0.672;0.675092829049328;0.74;0.00421294084081979
