"pset";"nrep";"Choice_type";"cond_names";"performance"
1;61;1;"BVP1";0.6
1;62;1;"BVP1";0.777777777777778
1;63;1;"BVP1";0.822222222222222
1;64;1;"BVP1";0.9
1;65;1;"BVP1";0.866666666666667
1;66;1;"BVP1";0.822222222222222
1;67;1;"BVP1";0.811111111111111
1;68;1;"BVP1";0.755555555555556
1;69;1;"BVP1";0.888888888888889
1;70;1;"BVP1";0.7
1;71;1;"BVP1";0.855555555555556
1;72;1;"BVP1";0.888888888888889
1;73;1;"BVP1";0.777777777777778
1;74;1;"BVP1";0.811111111111111
1;75;1;"BVP1";0.877777777777778
1;76;1;"BVP1";0.811111111111111
1;77;1;"BVP1";0.522222222222222
1;78;1;"BVP1";0.811111111111111
1;79;1;"BVP1";0.955555555555556
1;80;1;"BVP1";0.755555555555556
1;81;1;"BVP1";0.888888888888889
1;82;1;"BVP1";0.677777777777778
1;83;1;"BVP1";0.822222222222222
1;84;1;"BVP1";0.888888888888889
1;85;1;"BVP1";0.488888888888889
1;86;1;"BVP1";0.777777777777778
1;87;1;"BVP1";0.9
1;88;1;"BVP1";0.888888888888889
1;89;1;"BVP1";0.822222222222222
1;90;1;"BVP1";0.733333333333333
1;91;1;"BVP1";0.744444444444444
1;92;1;"BVP1";0.844444444444444
1;93;1;"BVP1";0.0666666666666667
1;94;1;"BVP1";0.788888888888889
1;95;1;"BVP1";0.833333333333333
1;96;1;"BVP1";0.855555555555556
1;97;1;"BVP1";0.722222222222222
1;98;1;"BVP1";0.755555555555555
1;99;1;"BVP1";0.755555555555556
1;100;1;"BVP1";0.8
2;1;1;"BVP2";0.8
2;2;1;"BVP2";0.811111111111111
2;3;1;"BVP2";0.777777777777778
2;4;1;"BVP2";0.888888888888889
2;5;1;"BVP2";0.833333333333333
2;6;1;"BVP2";0.777777777777778
2;7;1;"BVP2";0.822222222222222
2;8;1;"BVP2";0.811111111111111
2;9;1;"BVP2";0.833333333333333
2;10;1;"BVP2";0.844444444444444
2;11;1;"BVP2";0.822222222222222
2;12;1;"BVP2";0.744444444444444
2;13;1;"BVP2";0.866666666666667
2;14;1;"BVP2";0.822222222222222
2;15;1;"BVP2";0.855555555555556
2;16;1;"BVP2";0.811111111111111
2;17;1;"BVP2";0.8
2;18;1;"BVP2";0.833333333333333
2;19;1;"BVP2";0.766666666666666
2;20;1;"BVP2";0.933333333333333
2;21;1;"BVP2";0.822222222222222
2;22;1;"BVP2";0.855555555555555
2;23;1;"BVP2";0.744444444444444
2;24;1;"BVP2";0.877777777777778
2;25;1;"BVP2";0.866666666666667
2;26;1;"BVP2";0.822222222222222
2;27;1;"BVP2";0.788888888888889
2;28;1;"BVP2";0.788888888888889
2;29;1;"BVP2";0.788888888888889
2;30;1;"BVP2";0.833333333333333
2;31;1;"BVP2";0.811111111111111
2;32;1;"BVP2";0.822222222222222
2;33;1;"BVP2";0.733333333333333
2;34;1;"BVP2";0.666666666666666
2;35;1;"BVP2";0.9
2;36;1;"BVP2";0.877777777777778
2;37;1;"BVP2";0.866666666666667
